time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-31T22:37:30.850Z,38.1826,-117.7702,9,2.7,ml,22,68.77,0.049,0.1478,nn,nn00795482,2021-01-02T23:20:33.040Z,"37 km SE of Mina, Nevada",earthquake,,0.9,0.32,9,reviewed,nn,nn
2020-12-31T20:56:56.571Z,32.2914,-101.778,6.06,2.5,mb_lg,,57,0.313,0.71,us,us6000d4mp,2021-01-01T00:31:02.375Z,"18 km N of Stanton, Texas",earthquake,1.8,5.9,0.12,18,reviewed,us,us
2020-12-31T20:44:20.034Z,32.2951,-101.7941,5,4,mwr,,35,0.316,0.41,us,us6000d4mj,2021-01-04T22:44:05.676Z,"18 km N of Stanton, Texas",earthquake,1.5,1.9,0.04,60,reviewed,us,us
2020-12-31T19:12:33.805Z,32.2909,-101.7932,7.98,3.6,mb_lg,,78,0.312,0.24,us,us6000d4la,2021-01-01T19:17:12.952Z,"17 km N of Stanton, Texas",earthquake,1.5,2.3,0.041,161,reviewed,us,us
2020-12-31T18:21:33.401Z,32.297,-101.7992,5.39,3.3,mb_lg,,78,0.318,0.29,us,us6000d4l0,2021-01-01T03:56:00.234Z,"western Texas",earthquake,1.1,3.2,0.046,123,reviewed,us,us
2020-12-31T16:22:47.329Z,43.9643,-114.983,18.84,3.4,ml,,53,0.243,0.75,us,us6000d4k8,2021-01-01T16:25:03.659Z,"28 km S of Stanley, Idaho",earthquake,4.3,3.5,0.032,129,reviewed,us,us
2020-12-31T16:22:41.603Z,44.0753,-114.9696,16.27,3.3,ml,,82,0.132,0.6,us,us6000d4kd,2020-12-31T21:18:27.040Z,"15 km S of Stanley, Idaho",earthquake,4.9,8.7,0.115,10,reviewed,us,us
2020-12-31T15:43:46.542Z,31.6955,-104.1544,13.85,2.6,ml,,49,0.26,0.49,us,us6000d4k1,2020-12-31T19:43:10.040Z,"52 km W of Mentone, Texas",earthquake,1.8,7.4,0.071,106,reviewed,us,us
2020-12-31T15:20:58.030Z,37.6108322,-118.8461685,5.76,2.93,md,24,82,0.01562,0.03,nc,nc73505195,2020-12-31T19:27:12.040Z,"12km ESE of Mammoth Lakes, CA",earthquake,0.27,0.35,0.15,37,automatic,nc,nc
2020-12-31T14:36:34.620Z,44.293,-114.9593333,6.24,2.5,ml,12,74,0.086,0.22,mb,mb80481819,2020-12-31T15:24:37.870Z,"8 km N of Stanley, Idaho",earthquake,0.48,1,0.189,13,reviewed,mb,mb
2020-12-31T13:41:59.030Z,37.7991667,-122.5941667,13.09,3.33,ml,193,93,0.08795,0.1,nc,nc73505175,2021-01-05T03:36:13.017Z,"7km S of Muir Beach, CA",earthquake,0.13,0.18,0.253,97,reviewed,nc,nc
